fecha	hora	precio_md
2015-01-31	7	5
2015-01-31	8	9.2
2015-01-31	9	17.2
2015-01-31	10	25.1
2015-01-31	11	35.62
2015-01-31	12	34.3
2015-01-31	13	23.23
2015-01-31	14	18.2
2015-01-31	15	7.5
2015-01-31	16	5
2015-01-31	17	5
2015-01-31	18	9
2015-01-31	19	22.33
2015-01-31	20	35.62
2015-01-31	21	40.4
2015-01-31	22	37.54
2015-01-31	23	34.6
2015-01-31	24	22.43
2015-02-01	1	10
2015-02-01	2	7
2015-02-01	3	5
2015-02-01	4	4
2015-02-01	5	4
2015-02-01	6	4.8
2015-02-01	7	5
2015-02-01	8	7.04
2015-02-01	9	7.04
2015-02-01	10	7.88
2015-02-01	11	10.71
2015-02-01	12	10
2015-02-01	13	7.04
2015-02-01	14	7
2015-02-01	15	6.33
2015-02-01	16	5
2015-02-01	17	6.21
2015-02-01	18	9.98
2015-02-01	19	33.15
2015-02-01	20	50
2015-02-01	21	52.01
2015-02-01	22	50.01
2015-02-01	23	45.8
2015-02-01	24	41.74
2015-02-02	1	42.47
2015-02-02	2	36.67
2015-02-02	3	35
2015-02-02	4	31.04
2015-02-02	5	29.87
2015-02-02	6	30.5
2015-02-02	7	39.2
2015-02-02	8	57.26
2015-02-02	9	57.59
2015-02-02	10	61.33
2015-02-02	11	63.89
2015-02-02	12	62.61
2015-02-02	13	58.34
2015-02-02	14	54.1
2015-02-02	15	43.89
2015-02-02	16	42.59
2015-02-02	17	43.89
2015-02-02	18	49.64
2015-02-02	19	52.5
2015-02-02	20	64.89
2015-02-02	21	61.99
2015-02-02	22	54.1
2015-02-02	23	46.45
2015-02-02	24	38.4
2015-02-03	1	31.5
2015-02-03	2	28.71
2015-02-03	3	23.33
2015-02-03	4	20.01
2015-02-03	5	19.99
2015-02-03	6	20
2015-02-03	7	26.2
2015-02-03	8	40.82
2015-02-03	9	42.59
2015-02-03	10	55
2015-02-03	11	57.59
2015-02-03	12	55.57
2015-02-03	13	54.69
2015-02-03	14	51.38
2015-02-03	15	42.59
2015-02-03	16	42.55
2015-02-03	17	43.89
2015-02-03	18	51.1
2015-02-03	19	54.69
2015-02-03	20	66.12
2015-02-03	21	61.75
2015-02-03	22	54.7
2015-02-03	23	51.8
2015-02-03	24	44.86
2015-02-04	1	32.4
2015-02-04	2	27.71
